City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
geraldton,20,CA,1559058936,29,49.72,-86.95,16.0,5.7
leningradskiy,95,RU,1559058937,92,69.38,178.42,-0.48,4.69
talnakh,75,RU,1559058938,86,69.49,88.39,1.0,3.0
coahuayana,95,MX,1559058938,37,18.62,-100.35,32.73,0.72
castro,0,CL,1559058939,81,-42.48,-73.76,7.0,0.5
byron bay,0,AU,1559058940,41,-28.65,153.62,16.67,4.6
kingisepp,100,RU,1559058940,57,59.38,28.61,18.43,2.41
tiksi,97,RU,1559058941,96,71.64,128.87,-0.08,4.07
puerto cabezas,75,NI,1559058941,83,14.04,-83.39,29.0,3.1
bambous virieux,75,MU,1559058942,73,-20.34,57.76,24.0,8.2
dikson,12,RU,1559058942,87,73.51,80.55,-1.28,3.06
vila,75,IT,1559058943,77,45.18,8.4,21.67,6.7
saint-augustin,75,FR,1559058943,51,44.83,-0.61,18.89,8.2
khatanga,100,RU,1559058944,95,71.98,102.47,0.33,1.97
corowa,40,AU,1559058944,81,-36.0,146.39,11.0,7.7
oussouye,0,SN,1559058945,66,12.49,-16.54,36.0,3.1
kavaratti,50,IN,1559058945,75,10.57,72.64,30.13,5.91
olinda,75,EC,1559058946,69,-2.03,-79.75,27.78,1.5
torbay,90,CA,1559058946,93,47.66,-52.73,6.67,6.2
griffith,90,AU,1559058947,66,-34.29,146.06,12.0,8.7
cayenne,75,GF,1559058948,70,4.94,-52.33,29.0,4.1
taitung,100,TW,1559058753,99,22.76,121.15,17.63,0.05
knysna,40,ZA,1559058949,76,-34.04,23.05,14.0,5.7
hithadhoo,100,MV,1559058949,79,-0.6,73.08,28.33,5.4
nikolskoye,75,RU,1559058950,59,59.7,30.79,18.0,2.0
hofn,7,IS,1559058950,64,64.25,-15.21,-1.58,8.81
sandane,40,NO,1559058951,45,61.77,6.22,8.0,6.7
villers-la-ville,20,BE,1559058951,76,50.58,4.53,16.67,4.1
chapais,1,CA,1559058952,34,49.78,-74.86,12.0,5.1
mahebourg,75,MU,1559058952,73,-20.41,57.7,24.0,8.2
shawinigan,90,CA,1559058953,43,46.54,-72.75,14.44,3.1
gleisdorf,75,AT,1559058953,82,47.11,15.71,20.56,1.5
hilo,90,US,1559058912,83,19.71,-155.08,23.0,2.6
kamenka,9,RU,1559058954,39,53.19,44.05,26.67,2.22
monrovia,100,LR,1559058955,77,6.33,-10.8,27.73,4.49
baykit,97,RU,1559058955,78,61.68,96.39,6.43,2.3
new norfolk,20,AU,1559058956,89,-42.78,147.06,5.0,3.6
carnarvon,0,ZA,1559058956,35,-30.97,22.13,17.93,3.58
ocos,40,GT,1559058957,65,14.51,-92.19,30.0,1.65
bredasdorp,51,ZA,1559058957,59,-34.53,20.04,16.0,7.2
palestine,75,US,1559058958,83,31.76,-95.63,28.0,3.6
roald,40,NO,1559058958,66,62.58,6.12,8.0,5.7
ponta do sol,5,BR,1559058959,61,-20.63,-46.0,24.23,2.08
stokmarknes,75,NO,1559058959,87,68.56,14.91,7.78,2.1
kireka,85,UG,1559058960,94,0.35,32.65,21.93,1.21
arman,90,RU,1559058960,85,59.7,150.17,5.23,1.1
nenjiang,82,CN,1559058961,35,49.17,125.23,11.13,6.09
ontario,1,US,1559058949,66,34.07,-117.65,17.78,2.28
plouzane,75,FR,1559058962,62,48.38,-4.62,16.0,7.2
labuhan,29,ID,1559058962,86,-2.54,115.51,24.93,1.55
bonavista,98,CA,1559058963,86,48.65,-53.11,6.67,1.34
belem de sao francisco,83,BR,1559058963,49,-8.75,-38.97,29.53,6.37
yatou,75,CM,1559058964,66,3.63,9.81,31.0,3.6
lahat,86,ID,1559058964,88,-3.78,103.55,22.13,1.33
ribeira grande,75,PT,1559058965,77,38.52,-28.7,21.0,5.7
troitsko-pechorsk,98,RU,1559058965,56,62.71,56.19,11.13,4.33
saint george,20,GR,1559058966,44,39.45,22.34,30.0,3.6
oistins,40,BB,1559058966,66,13.07,-59.53,31.0,7.7
isangel,40,VU,1559058967,88,-19.55,169.27,23.0,3.35
nioro,0,GM,1559058967,15,13.79,-15.05,39.63,1.14
ilulissat,20,GL,1559058968,37,69.22,-51.1,10.0,2.1
gull lake,1,CA,1559058914,28,50.1,-108.48,15.0,5.7
kresttsy,100,RU,1559058969,69,58.25,32.52,18.23,1.1
guiglo,100,CI,1559058969,53,6.55,-7.5,31.73,2.03
alihe,96,CN,1559058970,35,50.57,123.73,8.33,2.94
alofi,4,NU,1559058971,88,-19.06,-169.92,23.0,3.1
kapaa,90,US,1559058971,94,22.08,-159.32,24.0,4.1
half moon bay,75,US,1559058972,76,37.46,-122.43,16.11,1.79
tabou,80,CI,1559058972,60,4.42,-7.36,30.73,2.39
airai,48,TL,1559058972,68,-8.93,125.41,23.53,3.99
yulara,0,AU,1559058973,40,-25.24,130.99,9.0,3.05
bluff,0,AU,1559058973,43,-23.58,149.07,14.03,3.3
krasnorechenskiy,14,RU,1559058974,83,44.63,135.35,5.23,3.04
rumonge,61,BI,1559058974,57,-3.97,29.44,22.93,2.25
kloulklubed,31,PW,1559058975,69,7.04,134.26,29.73,2.08
grindavik,0,IS,1559058975,52,63.84,-22.43,10.0,11.8
awbari,11,LY,1559058976,18,26.59,12.77,36.23,3.96
batticaloa,64,LK,1559058977,89,7.71,81.69,27.23,2.42
viedma,29,AR,1559058977,45,-40.81,-62.99,13.23,7.02
boende,100,CD,1559058977,89,-0.28,20.88,26.83,0.54
kruisfontein,98,ZA,1559058978,87,-34.0,24.73,13.73,1.54
kununurra,0,AU,1559058978,48,-15.77,128.74,18.0,1.5
thunder bay,20,CA,1559058979,47,48.41,-89.26,16.67,2.1
pisco,41,PE,1559058980,30,-13.71,-76.2,22.0,2.6
barrow,0,AR,1559058980,41,-38.31,-60.23,14.43,5.27
fushan,75,CN,1559058981,100,23.86,116.89,23.0,5.0
shenzhen,40,CN,1559058942,94,22.54,114.05,27.0,3.0
izhma,100,RU,1559058982,79,65.01,53.91,6.93,5.97
saint-philippe,90,CA,1559058982,66,45.36,-73.48,12.78,3.6
tam ky,40,VN,1559058983,79,15.57,108.48,29.0,0.82
butaritari,75,KI,1559058983,78,3.07,172.79,28.83,3.89
pevek,100,RU,1559058984,89,69.7,170.27,-0.88,1.63
yuanping,49,CN,1559058984,22,38.72,112.71,14.23,2.16
rio gallegos,75,AR,1559058714,67,-51.62,-69.22,0.0,2.6
longyearbyen,75,NO,1559058985,69,78.22,15.63,1.0,2.1
lavrentiya,100,RU,1559058985,96,65.58,-170.99,0.63,1.52
zhigansk,44,RU,1559058986,68,66.77,123.37,8.63,3.91
kassala,62,SD,1559058986,19,15.45,36.38,39.83,3.38
lagoa,0,PT,1559058987,60,37.14,-8.45,33.89,5.1
nouadhibou,16,MR,1559058987,68,20.93,-17.03,22.0,8.2
broome,40,GB,1559058988,62,52.47,1.45,15.0,4.1
olkhovka,99,RU,1559058988,47,53.21,60.61,22.03,2.93
waipawa,7,NZ,1559058989,87,-39.94,176.59,12.22,4.92
east london,6,ZA,1559058989,85,-33.02,27.91,14.53,3.0
akureyri,90,IS,1559058990,51,65.68,-18.09,3.0,6.2
surt,0,LY,1559058990,76,31.21,16.59,20.83,4.64
faya,40,SA,1559058991,56,18.39,42.45,22.0,2.1
mar del plata,99,AR,1559058991,75,-46.43,-67.52,2.83,1.59
okhotsk,100,RU,1559058992,87,59.36,143.24,5.13,1.88
pangody,100,RU,1559058992,100,65.85,74.49,6.23,4.62
russell,0,AR,1559058993,31,-33.01,-68.8,14.0,1.5
mehamn,75,NO,1559058993,70,71.03,27.85,6.0,4.6
chokurdakh,100,RU,1559058994,95,70.62,147.9,-1.88,2.6
la ronge,90,CA,1559058994,58,55.1,-105.3,12.0,0.91
kahului,1,US,1559058770,68,20.89,-156.47,22.78,2.6
chumikan,100,RU,1559058995,98,54.72,135.31,1.83,2.24
mogadishu,83,SO,1559058941,75,2.04,45.34,27.43,5.78
ormara,0,PK,1559058996,44,25.21,64.64,32.53,7.63
guerrero negro,2,MX,1559058997,80,27.97,-114.04,16.13,9.02
nan,100,TH,1559058997,95,18.78,100.78,22.73,0.9
san angelo,40,US,1559058824,69,31.46,-100.44,27.78,6.7
leirvik,40,NO,1559058998,62,59.78,5.5,8.33,7.7
itoman,75,JP,1559058999,94,26.12,127.67,25.0,1.0
belyy yar,0,RU,1559058999,41,53.6,91.39,14.0,2.0
bundaberg,0,AU,1559059000,71,-24.87,152.35,11.11,2.6
isabela,100,PH,1559059000,78,10.2,122.99,28.63,1.91
ghanzi,0,BW,1559059001,15,-21.7,21.65,23.63,3.26
boyabat,17,TR,1559059002,44,41.47,34.77,25.63,1.65
bonthe,100,SL,1559059002,79,7.53,-12.5,27.33,2.87
tashtagol,67,RU,1559059003,73,52.76,87.85,9.83,0.81
cidreira,100,BR,1559059001,87,-30.17,-50.22,19.13,4.59
padang,93,ID,1559059004,73,-0.92,100.36,29.23,1.81
ciudad bolivar,100,VE,1559059005,51,8.12,-63.55,32.33,2.96
salalah,20,OM,1559059005,79,17.01,54.1,30.0,4.6
muravlenko,100,RU,1559059005,72,63.79,74.5,15.93,7.89
lompoc,40,US,1559059006,82,34.64,-120.46,16.67,5.1
mananjary,29,MG,1559059006,79,-19.16,46.8,18.03,2.36
trat,99,TH,1559059007,76,12.25,102.51,29.44,0.81
kostroma,0,RU,1559059007,50,57.77,40.93,24.0,1.0
lorengau,99,PG,1559059008,87,-2.02,147.27,25.23,0.49
xai-xai,1,MZ,1559059008,64,-25.04,33.64,21.93,3.35
pervomayskoye,99,RU,1559059009,58,57.07,86.23,16.93,4.47
san cristobal,75,EC,1559059009,59,-0.39,-78.55,19.0,2.1
lalibela,64,ET,1559059010,35,12.04,39.05,23.93,2.33
clyde river,75,CA,1559059010,90,70.47,-68.59,0.0,3.1
saskylakh,44,RU,1559059011,91,71.97,114.09,-1.28,4.41
mitsamiouli,20,KM,1559059011,74,-11.38,43.28,27.0,4.6
upernavik,69,GL,1559059012,74,72.79,-56.15,1.43,3.56
sao miguel do araguaia,54,BR,1559059012,38,-13.28,-50.16,33.23,2.47
gorontalo,93,ID,1559058865,84,0.54,123.06,25.83,1.71
egvekinot,95,RU,1559059013,91,66.32,-179.17,-1.18,2.93
kurtamysh,1,RU,1559059014,46,54.91,64.43,21.23,4.3
chicama,90,PE,1559059014,77,-7.84,-79.15,20.0,2.6
saint-pierre,72,FR,1559059015,54,48.95,4.24,17.0,7.2
gaoual,100,GN,1559059016,18,11.75,-13.2,40.23,2.06
avera,1,US,1559059016,49,33.19,-82.53,35.0,3.6
oakdale,90,US,1559058781,87,37.77,-120.85,17.0,2.14
makakilo city,90,US,1559059017,83,21.35,-158.09,24.0,1.5
ilo,90,PE,1559059018,77,-17.65,-71.34,19.0,3.6
vanimo,99,PG,1559059018,77,-2.67,141.3,28.63,4.71
camabatela,94,AO,1559059019,32,-8.19,15.37,30.43,1.06
iguape,98,BR,1559059019,58,-24.7,-47.56,25.33,1.04
petropavlovsk-kamchatskiy,90,RU,1559059020,100,53.05,158.65,4.0,1.0
granadilla de abona,20,ES,1559058878,64,28.12,-16.58,23.33,8.7
faanui,99,PF,1559059021,77,-16.48,-151.75,27.73,4.97
sao gabriel da cachoeira,20,BR,1559059021,79,-0.13,-67.09,29.0,1.0
limon,90,US,1559059022,81,39.26,-103.69,15.56,4.1
saint-francois,4,FR,1559059022,71,46.42,3.91,14.44,2.6
central point,90,US,1559059023,76,42.38,-122.91,14.44,0.14
montlucon,46,FR,1559059023,79,46.33,2.6,12.78,1.34
bogorodskoye,31,RU,1559059024,97,52.37,140.44,5.63,3.7
poum,75,MK,1559059024,56,41.28,20.71,21.0,4.1
mae hong son,81,MM,1559059025,56,19.3,97.96,26.93,0.97
weinan,0,CN,1559059025,93,34.5,109.46,13.0,2.0
jatibonico,97,CU,1559059027,68,21.94,-79.17,28.33,4.18
the valley,40,AI,1559058870,69,18.22,-63.06,30.0,5.7
valenca,18,BR,1559059027,68,-13.37,-39.07,27.33,2.27
ulverstone,97,AU,1559059028,77,-41.16,146.17,7.78,0.89
zhifang,0,CN,1559059029,43,30.35,114.31,22.0,6.0
rome,75,IT,1559058737,68,41.89,12.48,20.0,4.1
kunyang,85,CN,1559059030,78,27.66,120.56,15.93,2.33
vaitape,99,PF,1559059030,77,-16.52,-151.75,27.73,4.97
krasnoarmeysk,0,RU,1559059031,44,56.12,38.15,27.0,4.0
upata,100,VE,1559059031,54,8.02,-62.41,30.53,2.65
bose,75,IT,1559059032,68,45.46,8.01,22.78,3.1
gigmoto,58,PH,1559059032,76,13.78,124.39,29.13,2.82
cabedelo,40,BR,1559059032,62,-6.97,-34.84,30.0,6.2
porbandar,0,IN,1559059033,91,21.64,69.61,28.13,5.27
virden,0,CA,1559059034,45,49.85,-100.93,16.83,3.7
samarai,82,PG,1559059034,94,-10.62,150.67,23.23,1.8
esperance,75,TT,1559059034,70,10.24,-61.45,30.56,6.2
nipawin,40,CA,1559059035,51,53.36,-104.02,17.0,4.1
beira,0,ES,1559059035,67,43.2,-8.36,21.11,6.2
barabai,43,ID,1559059036,90,-2.59,115.38,24.93,0.83
saint anthony,75,US,1559059037,62,43.97,-111.68,11.11,5.1
havelock,20,US,1559058952,79,34.88,-76.9,34.0,6.2
ponta delgada,75,PT,1559059037,72,37.73,-25.67,20.0,4.1
matara,0,PE,1559059038,43,-13.74,-72.9,11.0,2.16
jardim,1,BR,1559059039,65,-21.48,-56.15,28.83,5.74
san patricio,100,PY,1559059039,96,-26.98,-56.83,18.93,1.82
gamba,0,CN,1559059040,46,28.28,88.52,4.73,4.56
bubaque,60,GW,1559059040,71,11.28,-15.83,26.83,4.26
aksu,0,KZ,1559059041,41,52.04,76.93,15.0,4.0
jam sahib,90,PK,1559059041,47,26.3,68.63,38.0,2.1
alta,0,NO,1559059042,47,69.97,23.27,14.0,5.1
portland,90,US,1559058759,93,45.52,-122.67,14.44,0.59
intipuca,40,SV,1559059043,83,13.2,-88.05,27.0,1.09
barguzin,3,RU,1559059043,85,53.62,109.63,-3.48,1.88
murray bridge,92,AU,1559059044,75,-35.12,139.28,13.89,4.92
qaqortoq,20,GL,1559059044,35,60.72,-46.03,13.0,3.1
iqaluit,90,CA,1559059045,95,63.75,-68.52,3.0,6.2
altay,32,CN,1559059045,65,47.83,88.13,7.03,1.59
verkhnechusovskiye gorodki,56,RU,1559059047,58,58.17,57.11,16.93,2.25
cabo san lucas,20,MX,1559058812,78,22.89,-109.91,26.67,4.83
belmonte,0,PT,1559059017,31,40.36,-7.35,26.11,1.79
codrington,0,AU,1559059048,57,-28.95,153.24,16.67,2.12
shouguang,0,CN,1559059049,34,36.88,118.73,23.33,0.89
los llanos de aridane,40,ES,1559059049,64,28.66,-17.92,23.0,5.1
naze,75,NG,1559059050,74,5.43,7.07,30.0,5.1
taixing,100,CN,1559059050,39,32.17,120.02,22.78,1.51
iskateley,100,RU,1559059051,88,67.68,53.15,1.93,5.76
buala,73,SB,1559059051,78,-8.15,159.59,27.63,2.71
luau,88,CD,1559059052,38,-10.7,22.23,27.93,2.16
roma,75,IT,1559059026,68,41.89,12.48,20.0,4.1
kavieng,100,PG,1559059053,76,-2.57,150.8,28.83,4.24
adamovka,100,RU,1559059053,54,51.52,59.94,21.43,5.91
atar,100,MR,1559059054,16,20.52,-13.05,39.13,4.3
balotra,0,IN,1559059054,11,25.83,72.24,40.13,2.07
turukhansk,100,RU,1559059054,92,65.8,87.96,8.13,4.58
goulburn,91,AU,1559059055,81,-34.75,149.72,9.44,3.13
athlone,88,IE,1559059060,62,53.42,-7.94,14.44,0.45
lucapa,100,AO,1559059061,31,-8.42,20.74,30.33,1.66
baruun-urt,77,MN,1559059061,25,46.68,113.28,16.53,2.86
katobu,100,ID,1559059062,89,-4.94,122.53,23.93,1.69
yarmouth,40,GB,1559059062,45,50.71,-1.5,18.33,7.2
lumphat,100,KH,1559059063,94,13.5,106.97,24.63,3.04
tura,0,IN,1559059063,73,25.52,90.21,28.33,2.46
norrkoping,0,SE,1559059064,42,58.59,16.18,17.0,3.6
itarema,92,BR,1559058979,65,-2.92,-39.92,30.03,3.98
canora,1,CA,1559059065,55,51.64,-102.43,20.0,4.1
ahuimanu,1,US,1559059065,83,21.44,-157.84,24.0,0.95
kytmanovo,100,RU,1559059066,60,53.46,85.45,14.23,3.25
port blair,100,IN,1559059066,76,11.67,92.75,29.23,5.07
mezen,1,RU,1559059067,66,65.85,44.24,5.33,4.37
lebu,99,ET,1559059068,50,8.96,38.73,19.73,2.04
shache,100,CN,1559059068,80,38.42,77.24,26.11,0.45
lebowakgomo,0,ZA,1559059069,33,-24.3,29.54,22.0,2.6
pochinok,100,RU,1559059069,77,54.4,32.44,22.53,4.54
maun,0,BW,1559059070,21,-19.99,23.42,26.0,1.0
hanna,24,CA,1559059070,28,51.64,-111.93,19.44,3.58
mallasamudram,90,IN,1559059071,75,11.49,78.03,29.23,5.76
kidal,50,ML,1559059071,8,18.44,1.41,41.63,2.6
talakan,100,RU,1559059072,95,50.29,130.28,5.93,4.96
pangnirtung,20,CA,1559059072,76,66.15,-65.72,4.0,4.6
fortuna,20,ES,1559059073,45,38.18,-1.13,28.0,4.1
cap malheureux,75,MU,1559059073,73,-19.98,57.61,24.0,8.2
vidim,20,CZ,1559059074,87,50.47,14.53,14.44,4.6
oranjestad,20,AW,1559059064,62,12.52,-70.03,31.0,8.7
vao,100,EE,1559059075,65,59.1,26.19,14.93,2.87
konya,0,TR,1559058861,20,37.87,32.48,30.0,3.1
srednekolymsk,32,RU,1559059076,68,67.46,153.71,4.63,2.55
dingle,100,PH,1559059076,77,11.0,122.67,26.43,2.4
mayo,75,CA,1559059077,67,63.59,-135.9,14.0,4.1
makhinjauri,0,GE,1559059077,83,41.67,41.69,21.0,1.5
cockburn town,100,TC,1559059078,82,21.46,-71.14,26.43,5.71
sobolevo,100,RU,1559059079,78,54.43,31.9,22.53,4.37
pimenta bueno,35,BR,1559059079,66,-11.68,-61.19,31.43,0.33
te anau,82,NZ,1559059080,89,-45.41,167.72,5.53,1.99
asyut,0,EG,1559059080,22,27.18,31.19,38.0,9.3
kyshtovka,0,RU,1559059081,63,56.56,76.62,17.23,4.03
sumbe,38,AO,1559059081,81,-11.2,13.84,24.23,4.85
halifax,75,CA,1559059024,43,44.65,-63.58,13.89,4.1
ostrovnoy,0,RU,1559059082,67,68.05,39.51,3.73,4.12
aplahoue,43,BJ,1559059083,28,6.93,1.68,38.73,1.7
emerald,0,AU,1559059083,58,-23.53,148.16,12.0,2.1
puerto madryn,0,AR,1559059084,54,-42.77,-65.04,8.53,5.35
piltene,90,LV,1559059084,87,57.23,21.67,12.0,1.5
kalmunai,64,LK,1559059085,89,7.42,81.82,27.23,2.42
constitucion,75,MX,1559059085,37,23.99,-104.67,23.33,5.7
samana,100,EC,1559059086,64,0.12,-76.97,27.93,0.74
tazmalt,20,DZ,1559059086,69,36.39,4.4,24.0,3.1
chyhyryn,88,UA,1559059087,63,49.08,32.67,25.43,4.23
ambon,75,FR,1559059087,55,47.55,-2.56,19.44,5.7
barcelos,0,PT,1559059088,47,41.53,-8.62,28.89,6.7
mundo nuevo,0,CL,1559059088,63,-32.72,-71.41,17.0,1.5
darovskoy,43,RU,1559059089,73,58.77,47.96,16.33,2.08
motygino,14,RU,1559059089,75,58.18,94.69,6.63,1.88
puerto escondido,40,MX,1559059090,69,15.86,-97.07,28.0,5.1
dauphin,1,CA,1559059090,48,51.15,-100.04,19.0,3.1
nuuk,20,GL,1559059091,65,64.17,-51.74,7.0,2.1
awjilah,100,LY,1559059091,16,29.14,21.3,36.13,5.47
anadyr,40,RU,1559059092,89,64.73,177.51,1.0,1.91
nome,90,US,1559059092,70,30.04,-94.42,30.56,7.2
poso,100,ID,1559059093,98,-1.4,120.75,18.03,1.13
grand gaube,75,MU,1559059093,73,-20.01,57.66,24.0,8.2
san antonio,0,CL,1559059095,59,-33.58,-71.61,16.0,1.5
madera,90,US,1559059096,82,36.96,-120.06,15.0,2.6
gohana,0,IN,1559059096,9,29.14,76.7,39.13,3.43
naron,0,ES,1559059097,67,43.52,-8.15,17.78,6.2
tunceli,0,TR,1559059097,11,39.11,39.55,31.11,3.1
vilyuysk,13,RU,1559059098,52,63.75,121.63,8.63,0.2
ozark,75,US,1559058936,65,37.02,-93.21,26.11,7.7
bakchar,100,RU,1559059099,50,57.02,82.07,17.93,3.96
norman wells,40,CA,1559059099,51,65.28,-126.83,15.0,4.1
malanje,75,AO,1559059100,66,-9.54,16.35,29.0,0.83
penzance,40,GB,1559059100,71,50.12,-5.53,14.44,6.2
skibbereen,75,IE,1559059101,58,51.55,-9.27,14.0,2.6
whitehorse,75,CA,1559059101,50,60.72,-135.06,14.0,7.2
palembang,20,ID,1559059102,94,-2.99,104.76,27.0,2.1
verkhoyansk,0,RU,1559059102,38,67.55,133.39,8.53,4.0
sabha,30,LY,1559059103,16,27.03,14.43,37.43,4.45
riyadh,0,SA,1559058664,7,24.63,46.72,39.0,3.1
gizo,20,IL,1559059103,65,31.8,34.94,26.67,5.7
saint-joseph,0,FR,1559059104,68,43.56,6.97,22.0,2.1
polunochnoye,100,RU,1559059104,56,60.87,60.43,15.23,2.89
burnie,99,AU,1559058809,87,-41.05,145.91,7.78,1.79
college,90,US,1559059105,75,64.86,-147.8,10.0,1.5
nizwa,81,OM,1559059106,15,22.93,57.53,34.63,0.47
san luis,0,AR,1559059107,30,-33.3,-66.34,17.73,0.88
